,SHSZ300 Index
2020-01-02,4152.24
2020-01-03,4144.96
2020-01-06,4129.3
2020-01-07,4160.23
2020-01-08,4112.32
2020-01-09,4164.37
2020-01-10,4163.18
2020-01-13,4203.99
2020-01-14,4189.89
2020-01-15,4166.73
2020-01-16,4149.04
2020-01-17,4154.85
2020-01-20,4185.83
2020-01-21,4114.31
2020-01-22,4131.93
2020-01-23,4003.9
2020-02-03,3688.36
2020-02-04,3785.64
2020-02-05,3828.53
2020-02-06,3899.78
2020-02-07,3899.87
2020-02-10,3916.01
2020-02-11,3952.46
2020-02-12,3984.43
2020-02-13,3959.92
2020-02-14,3987.73
2020-02-17,4077.42
2020-02-18,4057.51
2020-02-19,4051.31
2020-02-20,4144.66
2020-02-21,4149.49
2020-02-24,4132.84
2020-02-25,4123.85
2020-02-26,4073.02
2020-02-27,4084.88
2020-02-28,3940.05
2020-03-02,4069.67
2020-03-03,4091.36
2020-03-04,4115.05
2020-03-05,4206.73
2020-03-06,4138.51
2020-03-09,3997.13
2020-03-10,4082.73
2020-03-11,4028.43
2020-03-12,3950.91
2020-03-13,3895.31
2020-03-16,3727.84
2020-03-17,3709.68
2020-03-18,3636.26
2020-03-19,3589.09
2020-03-20,3653.22
2020-03-23,3530.31
2020-03-24,3625.12
2020-03-25,3722.52
2020-03-26,3698.05
2020-03-27,3710.06
2020-03-30,3674.11
2020-03-31,3686.16
2020-04-01,3675.08
2020-04-02,3734.53
2020-04-03,3713.22
2020-04-07,3798.02
2020-04-08,3780.34
2020-04-09,3792.81
2020-04-10,3769.18
2020-04-13,3753.26
2020-04-14,3825.7
2020-04-15,3797.36
2020-04-16,3802.38
2020-04-17,3839.49
2020-04-20,3853.46
2020-04-21,3808.05
2020-04-22,3839.38
2020-04-23,3829.75
2020-04-24,3796.97
2020-04-27,3822.77
2020-04-28,3849.15
2020-04-29,3867.03
2020-04-30,3912.58
2020-05-06,3936.25
2020-05-07,3924.9
2020-05-08,3963.62
2020-05-11,3960.18
2020-05-12,3960.24
2020-05-13,3968.25
2020-05-14,3925.22
2020-05-15,3912.82
2020-05-18,3922.91
2020-05-19,3956.25
2020-05-20,3935.22
2020-05-21,3913.8
2020-05-22,3824.06
2020-05-25,3829.32
2020-05-26,3872.77
2020-05-27,3845.61
2020-05-28,3856.63
2020-05-29,3867.02
2020-06-01,3971.34
2020-06-02,3983.57
2020-06-03,3983.65
2020-06-04,3982.19
2020-06-05,4001.25
2020-06-08,4021.95
2020-06-09,4047.03
2020-06-10,4039.71
2020-06-11,3995.88
2020-06-12,4003.08
2020-06-15,3954.99
2020-06-16,4014.57
2020-06-17,4017.59
2020-06-18,4044.38
2020-06-19,4098.71
2020-06-22,4102.05
2020-06-23,4121.79
2020-06-24,4138.99
2020-06-29,4109.72
2020-06-30,4163.96
2020-07-01,4247.78
2020-07-02,4335.84
2020-07-03,4419.6
2020-07-06,4670.09
2020-07-07,4698.13
2020-07-08,4774.0
2020-07-09,4840.77
2020-07-10,4753.13
2020-07-13,4852.96
2020-07-14,4806.69
2020-07-15,4744.47
2020-07-16,4516.25
2020-07-17,4544.7
2020-07-20,4680.3
2020-07-21,4691.04
2020-07-22,4714.45
2020-07-23,4712.44
2020-07-24,4505.59
2020-07-27,4528.45
2020-07-28,4568.26
2020-07-29,4679.01
2020-07-30,4656.15
2020-07-31,4695.05
2020-08-03,4771.31
2020-08-04,4775.8
2020-08-05,4777.11
2020-08-06,4762.76
2020-08-07,4707.93
2020-08-10,4724.87
2020-08-11,4681.78
2020-08-12,4647.64
2020-08-13,4635.71
2020-08-14,4704.63
2020-08-17,4815.23
2020-08-18,4812.76
2020-08-19,4740.68
2020-08-20,4679.15
2020-08-21,4718.84
2020-08-24,4755.85
2020-08-25,4761.95
2020-08-26,4706.13
2020-08-27,4731.35
2020-08-28,4844.27
2020-08-31,4816.22
2020-09-01,4842.12
2020-09-02,4843.89
2020-09-03,4817.1
2020-09-04,4770.22
2020-09-07,4669.37
2020-09-08,4694.39
2020-09-09,4584.59
2020-09-10,4581.98
2020-09-11,4627.28
2020-09-14,4651.05
2020-09-15,4688.48
2020-09-16,4657.36
2020-09-17,4632.71
2020-09-18,4737.09
2020-09-21,4691.43
2020-09-22,4635.76
2020-09-23,4652.33
2020-09-24,4563.07
2020-09-25,4570.02
2020-09-28,4581.91
2020-09-29,4591.8
2020-09-30,4587.4
2020-10-09,4681.14
2020-10-12,4823.16
2020-10-13,4839.2
2020-10-14,4807.1
2020-10-15,4798.74
2020-10-16,4791.68
2020-10-19,4755.49
2020-10-20,4793.47
2020-10-21,4792.83
2020-10-22,4777.98
2020-10-23,4718.49
2020-10-26,4691.24
2020-10-27,4699.28
2020-10-28,4737.27
2020-10-29,4772.92
2020-10-30,4695.33
2020-11-02,4720.83
2020-11-03,4777.56
2020-11-04,4813.66
2020-11-05,4885.11
